index, V1, N1, N2, N3, N4, N5, N6, N7, N8, V1, E1, E2, E3, E4, E5, E6, E7, E8, V1, S1, S2, S3, S4, S5, S6, S7, S8, V1, W1, W2, W3, W4, W5, W6, W7, W8, V1, C1, C2, C3, C4, C5, C6, C7, C8
33, -0.7007874, 1022, 1370, 1152, 983, 1247, 1288, 1151, 1006, -0.7007874, 1006, 924, 684, 1130, 1174, 1140, 1380, 1158, -0.70866144, 904, 1017, 1131, 1168, 1143, 954, 1109, 1158, -0.7007874, 1022, 1200, 1379, 1054, 1402, 1237, 1407, 904, -0.70866144, 904, 1017, 1131, 1168, 1143, 954, 1109, 1158
34, -0.6929134, 895, 877, 1215, 1319, 1226, 834, 1204, 791, -0.6929134, 791, 701, 568, 678, 679, 736, 720, 1024, -0.7007874, 1183, 1219, 1366, 1451, 1436, 1194, 1162, 1024, -0.6929134, 895, 1412, 831, 1209, 1267, 1386, 880, 1183, -0.7007874, 1183, 1219, 1366, 1451, 1436, 1194, 1162, 1024
35, -0.68503934, 481, 645, 1058, 780, 1104, 520, 886, 458, -0.68503934, 458, 707, 1364, 688, 588, 683, 495, 611, -0.6929134, 684, 850, 887, 828, 790, 961, 918, 611, -0.68503934, 481, 758, 660, 725, 935, 796, 673, 684, -0.6929134, 684, 850, 887, 828, 790, 961, 918, 611
36, -0.6771653, 1447, 1310, 645, 589, 523, 1425, 747, 1196, -0.6771653, 1196, 1322, 943, 1327, 1516, 1378, 1316, 594, -0.68503934, 541, 679, 569, 629, 620, 780, 697, 594, -0.6771653, 1447, 520, 1263, 564, 739, 581, 1238, 541, -0.68503934, 541, 679, 569, 629, 620, 780, 697, 594
37, -0.6692913, 829, 904, 1299, 1349, 1488, 1165, 1301, 791, -0.6692913, 791, 1047, 1085, 767, 1046, 788, 761, 1560, -0.6771653, 1488, 1686, 1355, 1186, 1449, 1364, 1320, 1560, -0.6692913, 829, 1376, 909, 1441, 1579, 1439, 874, 1488, -0.6771653, 1488, 1686, 1355, 1186, 1449, 1364, 1320, 1560
38, -0.6614173, 744, 784, 769, 1072, 940, 792, 1013, 732, -0.6614173, 732, 778, 1530, 1135, 897, 939, 831, 875, -0.6692913, 732, 905, 1106, 823, 808, 1121, 1055, 875, -0.6614173, 744, 1051, 917, 879, 929, 896, 912, 732, -0.6692913, 732, 905, 1106, 823, 808, 1121, 1055, 875
39, -0.6535433, 1091, 1331, 771, 956, 1038, 1495, 811, 1045, -0.6535433, 1045, 1141, 693, 1246, 1424, 1417, 1413, 775, -0.6614173, 903, 774, 766, 917, 919, 755, 935, 775, -0.6535433, 1091, 1075, 1715, 992, 913, 802, 1367, 903, -0.6614173, 903, 774, 766, 917, 919, 755, 935, 775
40, -0.6456693, 744, 864, 1787, 1617, 1335, 783, 1269, 902, -0.6456693, 902, 782, 903, 737, 1053, 750, 867, 1185, -0.6535433, 1235, 1106, 1327, 1467, 1350, 1496, 1318, 1185, -0.6456693, 744, 1229, 947, 1381, 960, 1630, 813, 1235, -0.6535433, 1235, 1106, 1327, 1467, 1350, 1496, 1318, 1185
41, -0.63779527, 876, 1156, 991, 816, 1004, 964, 809, 744, -0.63779527, 744, 1056, 1371, 1128, 728, 930, 1069, 845, -0.6456693, 932, 658, 1082, 750, 1166, 773, 947, 845, -0.63779527, 876, 925, 1009, 1156, 963, 824, 881, 932, -0.6456693, 932, 658, 1082, 750, 1166, 773, 947, 845
42, -0.62992126, 997, 1690, 1077, 816, 1055, 1196, 1264, 821, -0.62992126, 821, 1185, 1059, 1465, 1082, 1109, 1229, 864, -0.63779527, 758, 1102, 884, 640, 960, 1157, 715, 864, -0.62992126, 997, 983, 1410, 822, 691, 940, 1053, 758, -0.63779527, 758, 1102, 884, 640, 960, 1157, 715, 864
43, -0.62204725, 1018, 721, 1165, 982, 1173, 1009, 979, 725, -0.62204725, 725, 1100, 1359, 951, 804, 942, 795, 1039, -0.62992126, 1045, 1047, 1365, 1128, 1185, 1089, 995, 1039, -0.62204725, 1018, 1057, 895, 1259, 927, 1209, 869, 1045, -0.62992126, 1045, 1047, 1365, 1128, 1185, 1089, 995, 1039
44, -0.61417323, 1338, 1615, 1154, 886, 1070, 1620, 1039, 1515, -0.61417323, 1515, 1483, 1041, 1213, 1613, 1463, 1199, 708, -0.62204725, 841, 729, 932, 1003, 903, 938, 1178, 708, -0.61417323, 1338, 1014, 1442, 977, 1206, 957, 1286, 841, -0.62204725, 841, 729, 932, 1003, 903, 938, 1178, 708
45, -0.6062992, 755, 829, 1349, 1488, 1715, 931, 1347, 747, -0.6062992, 747, 909, 1065, 853, 721, 1087, 964, 1340, -0.61417323, 1162, 1607, 1324, 1556, 1480, 1577, 1418, 1340, -0.6062992, 755, 1277, 724, 1293, 1825, 1342, 861, 1162, -0.61417323, 1162, 1607, 1324, 1556, 1480, 1577, 1418, 1340
46, -0.5984252, 1009, 958, 1078, 1049, 855, 1156, 988, 920, -0.5984252, 920, 1250, 1492, 1192, 1037, 1135, 851, 805, -0.6062992, 878, 1066, 1071, 1018, 1048, 1169, 1090, 805, -0.5984252, 1009, 827, 1195, 1109, 833, 1090, 959, 878, -0.6062992, 878, 1066, 1071, 1018, 1048, 1169, 1090, 805
47, -0.5905512, 1325, 1501, 1211, 1037, 981, 1492, 1089, 1437, -0.5905512, 1437, 1429, 1398, 1552, 1443, 1655, 1272, 1151, -0.5984252, 1114, 1169, 1043, 1360, 1050, 1497, 938, 1151, -0.5905512, 1325, 1274, 1345, 1073, 908, 1134, 1355, 1114, -0.5984252, 1114, 1169, 1043, 1360, 1050, 1497, 938, 1151
48, -0.5826772, 1559, 1524, 1503, 1630, 1643, 1695, 1503, 1520, -0.5826772, 1520, 1254, 1033, 1385, 1266, 1457, 1197, 1001, -0.5905512, 1053, 1289, 1407, 1301, 1080, 1287, 1431, 1001, -0.5826772, 1559, 1487, 1778, 1278, 1440, 1415, 1622, 1053, -0.5905512, 1053, 1289, 1407, 1301, 1080, 1287, 1431, 1001
49, -0.5748032, 919, 1064, 1576, 1348, 1484, 1210, 1654, 729, -0.5748032, 729, 815, 741, 1092, 1178, 1039, 1066, 1142, -0.5826772, 1373, 1210, 1253, 1527, 1201, 1279, 1116, 1142, -0.5748032, 919, 1303, 1462, 1329, 1398, 1469, 1211, 1373, -0.5826772, 1373, 1210, 1253, 1527, 1201, 1279, 1116, 1142
50, -0.56692916, 779, 1206, 1124, 1163, 999, 905, 1277, 980, -0.56692916, 980, 889, 2449, 964, 904, 883, 992, 971, -0.5748032, 985, 1171, 1212, 1097, 1356, 843, 1137, 971, -0.56692916, 779, 1200, 981, 1350, 1007, 1101, 991, 985, -0.5748032, 985, 1171, 1212, 1097, 1356, 843, 1137, 971
51, -0.5590551, 2159, 2094, 1032, 1085, 1089, 2191, 989, 2303, -0.5590551, 2303, 2441, 964, 2250, 2075, 2056, 2662, 873, -0.56692916, 934, 914, 787, 820, 929, 814, 1016, 873, -0.5590551, 2159, 928, 1749, 962, 830, 830, 2203, 934, -0.56692916, 934, 914, 787, 820, 929, 814, 1016, 873
